SICCode,SICDescription
35110100,"Turbines and turbine generator set units, complete"
35110101,"Gas turbine generator set units, complete"
35110102,"Hydraulic turbine generator set units, complete"
35110103,"Steam turbine generator set units, complete"
35110200,Turbines and turbine generator sets and parts
35110201,"Gas turbines, mechanical drive"
35110202,Hydraulic turbines
35110203,Steam engines
35110204,Steam governors
35110205,Steam turbines
35110206,Turbo-generators
35110207,"Wheels, water"
35190000,"Internal combustion engines, nec"
35190100,"Diesel, semi-diesel, or duel-fuel engines, including marine"
35190101,Diesel engine rebuilding
35190102,"Engines, diesel and semi-diesel or dual-fuel"
35190103,Marine engines
35190200,"Parts and accessories, internal combustion engines"
35190201,"Controls, remote, for boats"
35190202,"Engine starters, pneumatic"
35190203,"Governors, diesel engine"
35190204,"Governors, pump, for diesel engines"
35190205,"Radiators, stationary engine"
35199900,"Internal combustion engines, nec, nec"
35199901,Gas engine rebuilding
35199902,Gasoline engines
35199903,Jet propulsion engines
35199904,Outboard motors
35230000,Farm machinery and equipment
35230100,"Planting, haying, harvesting, and processing machinery"
35230101,"Balers, farm: hay, straw, cotton, etc."
35230102,"Cleaning machines for fruits, grains, and vegetables"
35230103,Combines (harvester-threshers)
35230104,Corn pickers and shellers
35230105,Cotton pickers and strippers
35230106,"Driers (farm): grain, hay, and seed"
35230107,"Grading, cleaning, sorting machines, fruit, grain, vegetable"
35230108,Grain stackers
35230109,"Harvesters, fruit, vegetable, tobacco, etc."
35230110,"Haying machines: mowers, rakes, stackers, etc."
35230111,"Hulling machinery, agricultural"
35230112,"Peanut combines, diggers, packers, and threshers"
35230113,"Planting machines, agricultural"
35230114,"Potato diggers, harvesters, and planters"
35230115,"Shakers, tree: nuts, fruits, etc."
35230116,Tobacco curers
35230117,Transplanters
35230118,Windrowers
35230200,"Soil preparation machinery, except turf and grounds"
35230201,"Harrows: disc, spring, tine, etc."
35230202,"Plows, agricultural: disc, moldboard, chisel, listers, etc."
35230203,"Weeding machines, agricultural"
35230300,"Fertilizing, spraying, dusting, and irrigation machinery"
35230301,"Dusters, mechanical: agricultural"
35230302,"Fertilizing machinery, farm"
35230303,"Irrigation equipment, self-propelled"
35230304,"Sprayers and spraying machines, agricultural"
35230305,"Spreaders, fertilizer"
35230400,"Barn, silo, poultry, dairy, and livestock machinery"
35230401,Barn cleaners
35230402,Barn stanchions and standards
35230403,"Blowers, forage"
35230404,"Cattle feeding, handling, and watering equipment"
35230405,"Clippers, for animal use: hand or electric"
35230406,Cream separators
35230407,Crop storage bins
35230408,"Cutters and blowers, ensilage"
35230409,"Dairy equipment (farm), nec"
35230410,"Feed grinders, crushers, and mixers"
35230411,"Hog feeding, handling, and watering equipment"
35230412,"Incubators and brooders, farm"
35230413,"Loaders, farm type: manure, general utility"
35230414,Milking machines
35230415,"Poultry brooders, feeders and waterers"
35230416,"Sheep shears, power"
35230417,Silo fillers and unloaders
35230418,Water troughs
35230419,Livestock treadmills
35230500,Turf and grounds equipment
35230501,Greens mowing equipment
35230502,Grounds mowing equipment
35230503,"Turf equipment, commercial"
35239900,"Farm machinery and equipment, nec"
35239901,"Cabs, tractors, and agricultural machinery"
35239902,"Elevators, farm"
35239903,Soil sampling machines
35239904,"Tractors, farm"
35239905,"Trailers and wagons, farm"
35239906,"Windmills for pumping water, agricultural"
35240000,Lawn and garden equipment
35240100,Lawn and garden tractors and equipment
35240101,Cultivators (garden tractor equipment)
35240102,Loaders (garden tractor equipment)
35240103,Plows (garden tractor equipment)
35240104,Rototillers (garden machinery)
35240200,Lawn and garden mowers and accessories
35240201,"Grass catchers, lawn mower"
35240202,"Lawnmowers, residential: hand or power"
35249900,"Lawn and garden equipment, nec"
35249901,"Blowers and vacuums, lawn"
35249902,Carts or wagons for lawn and garden
35249903,"Edgers, lawn"
35249904,"Hedge trimmers, electric"
35249905,"Rollers, lawn"
35249906,"Snowblowers and throwers, residential"
35310000,Construction machinery
35310100,Forestry related equipment
35310101,"Chippers: brush, limb, and log"
35310102,Log splitters
35310103,Logging equipment
35310200,Marine related equipment
35310201,"Capstans, ship"
35310202,"Cranes, ship"
35310203,Ship winches
35310300,Railroad related equipment
35310301,Ballast distributors
35310302,"Cranes, locomotive"
35310303,"Laying equipment, rail"
35310304,Railway track equipment
35310400,"Bituminous, cement and concrete related products and equip."
35310401,"Asphalt plant, including gravel-mix type"
35310402,"Batching plants, for aggregate concrete and bulk cement"
35310403,Bituminous batching plants
35310404,Cement silos (batch plant)
35310405,"Concrete buggies, powered"
35310406,Concrete grouting equipment
35310407,Concrete gunning equipment
35310408,Concrete plants
35310409,"Finishers, concrete and bituminous: powered"
35310410,"Mixers, bituminous"
35310411,"Mixers, concrete"
35310412,Pavers
35310413,Paving breakers
35310414,"Planers, bituminous"
35310415,Screeds and screeding machines
35310416,"Surfacers, concrete grinding"
35310417,Vibrators for concrete construction
35310500,"Scrapers, graders, rollers, and similar equipment"
35310501,"Backfillers, self-propelled"
35310502,Finishers and spreaders (construction equipment)
35310503,"Graders, road (construction machinery)"
35310504,"Ladder ditchers, vertical boom or wheel"
35310505,"Line markers, self-propelled"
35310506,Pile drivers (construction machinery)
35310507,Piling extractors
35310508,"Rollers, road: steam or other power"
35310509,"Rollers, sheepsfoot and vibratory"
35310510,"Scarifiers, road"
35310511,Scrapers (construction machinery)
35310512,"Tampers, powered"
35310600,"Backhoes, tractors, cranes, plows, and similar equipment"
35310601,Backhoes
35310602,Bulldozers (construction machinery)
35310603,Crane carriers
35310604,"Cranes, nec"
35310605,"Dozers, tractor mounted: material moving"
35310606,"Draglines, powered"
35310607,Dredging machinery
35310608,Entrenching machines
35310609,"Excavators: cable, clamshell, crane, derrick, dragline, etc."
35310610,"Loaders, shovel: self-propelled"
35310611,Shovel loaders
35310612,"Shovels, power"
35310613,Subgraders (construction equipment)
35310614,"Tractors, construction"
35310615,"Tractors, crawler"
35310616,"Tractors, tracklaying"
35310617,"Trucks, off-highway"
35310618,Tunnelling machinery
35310700,"Crushers, grinders, and similar equipment"
35310701,"Crushers, portable"
35310702,"Grinders, stone: portable"
35310703,"Hammer mills (rock and ore crushing machines), portable"
35310704,"Mixers, nec: ore, plaster, slag, sand, mortar, etc."
35310705,"Posthole diggers, powered"
35310706,"Rock crushing machinery, portable"
35310707,"Screeners, portable"
35310708,Soil compactors: vibratory
35310709,"Stone pulverizers, portable"
35310800,Construction machinery attachments
35310801,Aggregate spreaders
35310802,"Backhoe mounted, hydraulically powered attachments"
35310803,"Blades for graders, scrapers, dozers, and snow plows"
35310804,Bucket or scarifier teeth
35310805,"Buckets, excavating: clamshell, concrete, dragline, etc."
35310806,"Cabs, for construction machinery"
35310807,"Drags, road (construction and road maintenance equipment)"
35310808,"Grader attachments, elevating"
35310809,"Grapples: rock, wood, etc."
35310810,"Plows: construction, excavating, and grading"
35310811,"Rakes, land clearing: mechanical"
35310812,Snow plow attachments
35310813,"Subsoiler attachments, tractor mounted"
35310814,Winches
35319900,"Construction machinery, nec"
35319901,Aerial work platforms: hydraulic/elec. truck/carrier mounted
35319902,Airport construction machinery
35319903,Automobile wrecker hoists
35319904,Catch basin cleaners
35319905,"Chip spreaders, self-propelled"
35319906,"Derricks, except oil and gas field"
35319907,Mud jacks
35319908,Road construction and maintenance machinery
35319909,Roofing equipment
35319910,Wellpoint systems
35320000,Mining machinery
35320100,"Drills, bits, and similar equipment"
35320101,Auger mining equipment
35320102,"Bits, except oil and gas field tools, rock"
35320103,"Drills (portable), rock"
35320104,"Drills and drilling equipment, mining (except oil and gas)"
35320105,"Drills, core"
35320200,Mineral beneficiation equipment
35320201,Amalgamators (metallurgical or mining machinery)
35320202,"Clarifying machinery, mineral"
35320203,Classifiers (metallurgical or mining machinery)
35320204,"Cleaning machinery, mineral"
35320205,Concentration machinery (metallurgical or mining)
35320206,Flotation machinery (mining machinery)
35320207,"Sedimentation machinery, mineral"
35320208,"Separating machinery, mineral"
35320209,"Washers, aggregate and sand"
35320300,"Crushing, pulverizing, and screening equipment"
35320301,"Coal breakers, cutters, and pulverizers"
35320302,"Crushers, stationary"
35320303,"Grinders, stone: stationary"
35320304,"Pulverizers (stationary), stone"
35320305,"Rock crushing machinery, stationary"
35320306,"Screeners, stationary"
35320400,"Mine cars, plows, loaders, feeders, and similar equipment"
35320401,"Cages, mine shaft"
35320402,"Car dumpers, mining"
35320403,"Cars, mining"
35320404,"Feeders, ore and aggregate"
35320405,"Loading machines, underground: mobile"
35320406,Pellet mills (mining machinery)
35320407,"Plows, coal"
35320408,"Scraper loaders, underground"
35320409,"Shuttle cars, underground"
35320410,"Trucks (dollies), mining"
35329900,"Mining machinery, nec"
35329901,Stamping mill machinery (mining machinery)
35330000,Oil and gas field machinery
35330100,Oil and gas drilling rigs and equipment
35330101,"Bits, oil and gas field tools: rock"
35330102,Drill rigs
35330103,"Drilling tools for gas, oil, or water wells"
35339900,"Oil and gas field machinery, nec"
35339901,"Derricks, oil or gas field"
35339902,Gas field machinery and equipment
35339903,Oil field machinery and equipment
35339904,Water well drilling equipment
35339905,Well logging equipment
35339906,Well surveying equipment
35340000,Elevators and moving stairways
35340100,Elevators and equipment
35340101,Automobile elevators
35340102,"Stair elevators, motor powered"
35349900,"Elevators and moving stairways, nec"
35349901,Dumbwaiters
35349902,"Escalators, passenger and freight"
35349903,"Walkways, moving"
35350000,Conveyors and conveying equipment
35350100,Unit handling conveying systems
35350101,"Belt conveyor systems, general industrial use"
35350102,Passenger baggage belt loaders
35350103,Pneumatic tube conveyor systems
35350104,Tow conveyors
35350105,Trolley conveyors
35359900,"Conveyors and conveying equipment, nec"
35359901,Bucket type conveyor systems
35359902,Bulk handling conveyor systems
35359903,Overhead conveyor systems
35359904,Robotic conveyors
35360000,"Hoists, cranes, and monorails"
35360100,Hoists
35360101,Boat lifts
35360102,Davits
35360103,Hand hoists
35360104,Hoisting slings
35360105,Mine hoists
35360200,Cranes and monorail systems
35360201,"Cranes, industrial plant"
35360202,"Cranes, overhead traveling"
35360203,Monorail systems
35370000,Industrial trucks and tractors
35370100,"Platforms, stands, tables, pallets, and similar equipment"
35370101,Aircraft engine cradles
35370102,"Containers (metal), air cargo"
35370103,"Cradles, boat"
35370104,"Cradles, drum"
35370105,"Engine stands and racks, metal"
35370106,"Loading docks: portable, adjustable, and hydraulic"
35370107,"Pallets, metal"
35370108,"Platforms, cargo"
35370109,"Skid boxes, metal"
35370110,"Skids, metal"
35370111,"Stands, ground servicing aircraft"
35370112,"Tables, lift: hydraulic"
35370200,"Trucks, tractors, loaders, carriers, and similar equipment"
35370201,Aircraft loading hoists
35370202,Bomb lifts and trucks
35370203,"Cabs, for industrial trucks and tractors"
35370204,"Cars and trucks, for industrial mining"
35370205,"Cranes, industrial truck"
35370206,Die and strip handlers
35370207,"Dollies (hand or power trucks), industrial,except mining"
35370208,Forklift trucks
35370209,"Hoppers, end dump"
35370210,"Lift trucks, industrial: fork, platform, straddle, etc."
35370211,Pallet loaders and unloaders
35370212,Palletizers and depalletizers
35370213,"Stackers, power (industrial truck stackers)"
35370214,"Stacking machines, automatic"
35370215,"Straddle carriers, mobile"
35370216,"Tractors, used in plants, docks,terminals, etc.: industrial"
35370217,"Truck trailers, used in plants, docks, terminals, etc."
35370218,"Trucks: freight, baggage, etc.: industrial, except mining"
35410000,"Machine tools, metal cutting type"
35410100,Drilling and boring machines
35410101,Boring mills
35410102,Broaching machines
35410103,Countersinking machines
35410104,Cylinder reboring machines
35410105,Drill presses
35410106,Drilling machine tools (metal cutting)
35410107,Jig boring and grinding machines
35410108,Reaming machines
35410109,Vertical turning and boring machines (metalworking)
35410200,"Grinding, polishing, buffing, lapping, and honing machines"
35410201,Brushing machines (metalworking machinery)
35410202,Buffing and polishing machines
35410203,Crankshaft regrinding machines
35410204,Deburring machines
35410205,Facing machines
35410206,Flange facing machines
35410207,"Grinding machines, metalworking"
35410208,Honing and lapping machines
35410209,Lapping machines
35410210,Pointing and burring machines
35410300,Milling machines
35410301,Chemical milling machines
35410302,Die sinking machines
35410303,Electrochemical milling machines
35410400,Lathes
35410401,"Chucking machines, automatic"
35410402,"Lathes, metal cutting and polishing"
35410403,Turret lathes
35410500,Screw and thread machines
35410501,Pipe cutting and threading machines
35410502,Screw and nut slotting machines
35410503,"Screw machines, automatic"
35410504,Tapping machines
35410600,Saws and sawing machines
35410601,Cutoff machines (metalworking machinery)
35410602,Sawing and cutoff machines (metalworking machinery)
35410603,"Saws, power (metalworking machinery)"
35419900,"Machine tools, metal cutting type, nec"
35419901,Centering machines
35419902,Electrical discharge erosion machines
35419903,Electrolytic metal cutting machine tools
35419904,Electron-discharge metal cutting machine tools
35419905,Gear cutting and finishing machines
35419906,"Home workshop machine tools, metalworking"
35419907,Keysetting machines
35419908,"Machine tool replacement & repair parts, metal cutting types"
35419909,"Machine tools, metal cutting: exotic (explosive, etc.)"
35419910,Numerically controlled metal cutting machine tools
35419911,Planers (metal cutting machine tools)
35419912,Plasma process metal cutting machines
35419913,"Robots for drilling, cutting, grinding, polishing, etc."
35419914,Shaving machines (metalworking)
35419915,Ultrasonic metal cutting machine tools
35420000,"Machine tools, metal forming type"
35420100,"Punching, shearing, and bending machines"
35420101,Bending machines
35420102,Punching and shearing machines
35420103,"Shearing machines, power"
35420104,Swaging machines
35420200,Pressing machines
35420201,Arbor presses
35420202,"Crimping machinery, metal"
35420203,Press brakes
35420204,"Presses: forming, stamping, punching, sizing (machine tools)"
35420205,"Presses: hydraulic and pneumatic, mechanical and manual"
35420300,Die casting and extruding machines
35420301,Die casting machines
35420302,"Extruding machines (machine tools), metal"
35420400,"Spinning, spline rolling, and winding machines"
35420401,Spinning lathes
35420402,"Spinning machines, metal"
35420403,Spline rolling machines
35420404,Spring winding and forming machines
35420405,Thread rolling machines
35420500,Knurling and beading machines
35420501,"Beaders, metal (machines)"
35420502,Knurling machines
35420503,Marking machines
35420504,Metal deposit forming machines
35429900,"Machine tools, metal forming type, nec"
35429901,"Brakes, metal forming"
35429902,Bulldozers (metalworking machinery)
35429903,Chemical explosives metal forming machines
35429904,Elastic membrane metal forming machines
35429905,Electroforming machines
35429906,Forging machinery and hammers
35429907,Gear rolling machines
35429908,Headers
35429909,High energy rate metal forming machines
35429910,Magnetic forming machines
35429911,Mechanical (pneumatic or hydraulic) metal forming machines
35429912,"Metal container making machines: cans, etc."
35429913,Nail heading machines
35429914,Plasma jet spray metal forming machines
35429915,"Rebuilt machine tools, metal forming types"
35429916,Riveting machines
35429917,"Robots for metal forming: pressing, extruding, etc."
35429918,Sheet metalworking machines
35429919,Shock wave metal forming machines
35429920,Stretching machines
35429921,Ultrasonically assisted metal forming machines
35429922,Upsetters (forging machines)
35430000,Industrial patterns
35439900,"Industrial patterns, nec"
35439901,Foundry cores
35439902,Foundry patternmaking
35440000,"Special dies, tools, jigs, and fixtures"
35440100,Special dies and tools
35440101,"Diamond dies, metalworking"
35440102,Die sets for metal stamping (presses)
35440103,Die springs
35440104,"Dies and die holders for metal cutting, forming, die casting"
35440105,"Dies, plastics forming"
35440106,"Dies, steel rule"
35440107,Extrusion dies
35440108,Paper cutting dies
35440109,Wire drawing and straightening dies
35440200,Jigs and fixtures
35440201,"Jigs: inspection, gauging, and checking"
35440202,Welding positioners (jigs)
35449900,"Special dies, tools, jigs, and fixtures, nec"
35449901,"Forms (molds), for foundry and plastics working machinery"
35449902,Industrial molds
35449903,"Punches, forming and stamping"
35449904,"Subpresses, metalworking"
35450000,Machine tool accessories
35450100,Precision measuring tools
35450101,Calipers and dividers
35450102,Comparators (machinists' precision tools)
35450103,Gauge blocks
35450104,Letter pins (gauging and measuring)
35450105,"Measuring tools and machines, machinists' metalworking type"
35450106,Micrometers
35450107,"Precision tools, machinists'"
35450108,"Scales, measuring (machinists' precision tools)"
35450109,Verniers (machinists' precision tools)
35450200,Cutting tools for machine tools
35450201,"Counterbores, metalworking"
35450202,Countersinks and countersink drill combinations
35450203,"Diamond cutting tools for turning, boring, burnishing, etc."
35450204,"Dressers, abrasive wheel: diamond point or other"
35450205,End mills
35450206,"Files, machine tool"
35450207,Hobs
35450208,"Machine knives, metalworking"
35450209,Milling cutters
35450210,"Reamers, machine tool"
35450211,Shear knives
35450212,"Taps, machine tool"
35450213,Thread cutting dies
35450214,Threading tools (machine tool accessories)
35450215,"Wheel turning equipment, diamond point or other"
35450300,Machine tool attachments and accessories
35450301,Angle rings
35450302,Arbors (machine tool accessories)
35450303,Balancing machines (machine tool accessories)
35450304,"Bits for use on lathes, planers, shapers, etc."
35450305,Boring machine attachments (machine tool accessories)
35450306,Broaches (machine tool accessories)
35450307,Cams (machine tool accessories)
35450308,Chasers (machine tool accessories)
35450309,"Chucks: drill, lathe, or magnetic (machine tool accessories)"
35450310,Collars (machine tool accessories)
35450311,Collets (machine tool accessories)
35450312,Diamond dressing and wheel crushing attachments
35450313,"Drill bits, metalworking"
35450314,Drill bushings (drilling jig)
35450315,Drilling machine attachments and accessories
35450316,Drills (machine tool accessories)
35450317,Gauges (machine tool accessories)
35450318,"Headstocks, lathe (machine tool accessories)"
35450319,Honing heads
35450320,Hopper feed devices
35450321,Mandrels
35450322,Milling machine attachments (machine tool accessories)
35450323,Pushers
35450324,Rotary tables
35450325,Shaping tools (machine tool accessories)
35450326,Sockets (machine tool accessories)
35450327,Tool holders
35450328,Tools and accessories for machine tools
35450329,"Vises, machine (machine tool accessories)"
35460000,Power-driven handtools
35460100,Drills and drilling tools
35460101,"Drill attachments, portable"
35460102,"Drills, portable, except rock: electric or pneumatic"
35460200,Saws and sawing equipment
35460201,"Chain saws, portable"
35460202,"Saws, portable and handheld: power driven"
35469900,"Power-driven handtools, nec"
35469901,Cartridge-activated hand power tools
35469902,"Grinders, portable: electric or pneumatic"
35469903,"Guns, pneumatic: chip removal"
35469904,"Hammers, portable: electric or pneumatic, chipping, etc."
35469905,"Sanders, hand: electric"
35470000,Rolling mill machinery
35470100,Primary rolling mill equipment
35470101,Billet mills
35470102,Blooming and slabbing mills
35470200,Secondary rolling mill equipment
35470201,Bar mills
35470202,"Finishing equipment, rolling mill"
35470203,Galvanizing lines (rolling mill equipment)
35470204,Hot strip mill machinery
35470205,Picklers and pickling lines (rolling mill equipment)
35470206,Pipe and tube mills
35470207,Plate rolling mill machinery
35470208,Rod mills (rolling mill equipment)
35470209,Steel rolling machinery
35470210,Straightening machinery (rolling mill equipment)
35470211,Structural mills (rolling mill equipment)
35479900,"Rolling mill machinery, nec"
35479901,"Ferrous and nonferrous mill equipment, auxiliary"
35480000,Welding apparatus
35480100,Electric welding equipment
35480101,"Arc welders, transformer-rectifier"
35480102,"Arc welding generators, a.c. and d.c."
35480103,"Electrode holders, for electric welding apparatus"
35480104,"Electrodes, electric welding"
35480105,"Resistance welders, electric"
35480106,"Seam welding apparatus, electric"
35480107,"Spot welding apparatus, electric"
35480108,"Transformers (separate), for arc welders"
35489900,"Welding apparatus, nec"
35489901,Gas welding equipment
35489902,"Soldering equipment, except hand soldering irons"
35489903,"Welding and cutting apparatus and accessories, nec"
35489904,"Welding wire, bare and coated"
35490000,"Metalworking machinery, nec"
35490100,Drawing machinery
35490101,Draw benches
35490102,"Wiredrawing and fabricating machinery and equipment, ex. die"
35490200,Coiling machinery
35490201,Coil winding machines for springs
35490202,Coilers (metalworking machines)
35490300,Cutting and slitting machinery
35490301,Cutting-up lines
35490302,Rotary slitters (metalworking machines)
35499900,"Metalworking machinery, nec, nec"
35499901,"Assembly machines, including robotic"
35499902,"Marking machines, metalworking"
35499903,Pail mills
35499904,Propeller straightening presses
35499905,Screw downs and boxes
35499906,Screw driving machines
35520000,Textile machinery
35520100,Fiber and yarn preparation machinery and equipment
35520101,"Beaming machines, textile"
35520102,"Bobbins, textile machinery"
35520103,"Carbonizing equipment, wool processing machinery"
35520104,"Card clothing, textile machinery"
35520105,"Carding machines, textile"
35520106,"Combing machines, textile"
35520107,"Drawing frames, textile"
35520108,"Frames, doubling and twisting, textile machinery"
35520109,"Garnetting machines, textile"
35520110,Opening machinery and equipment
35520111,"Picker machines, textile"
35520112,Rope and cordage machines
35520113,"Roving machines, textile"
35520114,Shearing machinery
35520115,"Spindles, textile"
35520116,"Spinning machines, textile"
35520117,"Spools, textile machinery: wood"
35520118,"Thread making machines, spinning machinery"
35520119,"Warping machines, textile"
35520120,"Winders, textile machinery"
35520121,Yarn texturizing machines
35520200,Fabric forming machinery and equipment
35520201,"Braiding machines, textile"
35520202,Embroidery machines
35520203,"Heddles for loom harnesses, wire"
35520204,Hosiery machines
35520205,Jacquard card cutting machines
35520206,Jacquard loom parts and attachments
35520207,Knitting machines
35520208,Lace and net machines
35520209,"Looms, textile machinery"
35520210,"Loopers, textile machinery"
35520211,"Reeds, loom"
35520212,Shuttles for textile weaving
35520213,"Slashing machines, textile"
35520300,"Dyeing, drying, and finishing machinery and equipment"
35520301,"Bleaching machinery, textile"
35520302,Cloth spreading machines
35520303,"Drying machines, textile: for stock, yarn, and cloth"
35520304,"Dyeing machinery, textile"
35520305,"Finishing machinery, textile"
35520306,"Mercerizing machinery, textile"
35520307,"Napping machines, textile"
35520308,"Printing machinery, textile"
35520309,Silk screens for textile industry
35520310,Wool and worsted finishing machines
35529900,"Textile machinery, nec"
35529901,"Creels, textile machinery"
35529902,"Knot tying machines, textile"
35530000,Woodworking machinery
35539900,"Woodworking machinery, nec"
35539901,"Bandsaws, woodworking"
35539902,"Box making machines, for wooden boxes"
35539903,Cabinet makers' machinery
35539904,"Furniture makers machinery, woodworking"
35539905,"Jointers, woodworking machines"
35539906,"Lathes, wood turning: including accessories"
35539907,"Mortisers, woodworking machines"
35539908,"Pattern makers' machinery, woodworking"
35539909,"Planers, woodworking machines"
35539910,Planing mill machinery
35539911,"Presses for making particleboard, hardboard, plywood, etc."
35539912,"Sanding machines, except portable floor sanders: woodworking"
35539913,Sawmill machines
35539914,"Saws, power: bench and table, except portable: woodworking"
35539915,"Scarfing machines, woodworking"
35539916,"Shapers, woodworking machines"
35539917,"Surfacers, woodworking machines"
35539918,"Tenoners, woodworking machines"
35539919,Veneer mill machines
35540000,Paper industries machinery
35540100,Paper forming machines
35540101,"Bag and envelope making machinery, paper"
35540102,"Box making machines, paper"
35540103,"Folding machines, paper"
35549900,"Paper industries machinery, nec"
35549901,"Coating and finishing machinery, paper"
35549902,"Corrugating machines, paper"
35549903,"Cutting machines, paper"
35549904,"Die cutting and stamping machinery, paper converting"
35549905,"Fourdrinier machines, paper manufacturing"
35549906,"Paper mill machinery: plating, slitting, waxing, etc."
35549907,Pulp mill machinery
35549908,Sandpaper manufacturing machines
35550000,Printing trades machinery
35550100,Printing presses
35550101,"Presses, envelope, printing"
35550102,"Presses, gravure"
35550200,Printing plates
35550201,"Plates, metal: engravers'"
35550202,"Plates, offset"
35550300,Printing trade parts and attachments
35550301,"Copy holders, printers'"
35550302,"Galleys or chases, printers'"
35550303,"Leads, printers'"
35550304,"Mats, advertising and newspaper"
35550305,"Planes, printers'"
35550306,"Rules, printers'"
35550307,"Slugs, printers'"
35550308,"Sticks, printers'"
35550309,"Type cases, printers'"
35550400,"Engraving machinery and equipment, except plates"
35550401,"Blocks, wood: engravers'"
35550402,Photoengraving machines
35550500,Type and type making machinery and equipment
35550501,"Type casting, founding, or melting machines"
35550502,"Type, foundry (for printing)"
35550503,"Type: lead, steel, brass, copper faced, etc."
35550600,Bookbinding machinery
35550601,Collating machines for printing and bookbinding
35559900,"Printing trades machinery, nec"
35559901,Bronzing or dusting machines for the printing trade
35559902,Electrotyping machines
35559903,Lithographic stones
35559904,Stereotyping machines
35559905,"Typesetting machines: linotype, monotype, intertype, etc."
35559906,Typographic numbering machines
35560000,Food products machinery
35560100,Dairy and milk machinery
35560101,Butter making and butter working machinery
35560102,Cheese making machinery
35560103,Cream separators (food products machinery)
35560104,"Homogenizing machinery: dairy, fruit, vegetable"
35560105,Ice cream manufacturing machinery
35560106,"Milk machinery, condensed and evaporated"
35560107,"Milk machinery, dry milk processing machinery"
35560108,"Milk processing machinery, nec"
35560109,"Pasteurizing equipment, dairy machinery"
35560200,"Cutting, chopping, grinding, mixing, and similar machinery"
35560201,Biscuit cutters (machines)
35560202,Biscuit cutting dies
35560203,"Choppers, commercial, food"
35560204,Dough mixing machinery
35560205,Flour mill machinery
35560206,"Grinders, commercial, food"
35560207,"Mills, food"
35560208,"Mixers, commercial, food"
35560209,"Mixers, feed, except agricultural"
35560210,Oilseed crushing and extracting machinery
35560211,"Potato peelers, electric"
35560212,"Presses, food: cheese, beet, cider, and sugarcane"
35560213,"Sifters, food"
35560214,"Slicers, commercial, food"
35560300,"Smoking or roasting machinery, including ovens"
35560301,"Dehydrating equipment, food processing"
35560302,"Ovens, bakery"
35560303,"Roasting machinery: coffee, peanut, etc."
35560304,"Smokers, food processing equipment"
35560400,Beverage machinery
35560401,Brewers' and maltsters' machinery
35560402,Distillery machinery
35560403,"Juice extractors, fruit and vegetable: commercial type"
35560404,Malt mills
35560500,"Meat, poultry, and seafood processing machinery"
35560501,Fish and shellfish processing machinery
35560502,Meat processing machinery
35560503,Poultry processing machinery
35560504,Sausage stuffers
35569900,"Food products machinery, nec"
35569901,Bakery machinery
35569902,Chewing gum machinery
35569903,Chocolate processing machinery
35569904,Confectionery machinery
35569905,Cracker making machines
35569906,Packing house machinery
35569907,Pasta machinery
35569908,Sugar plant machinery
35590000,"Special industry machinery, nec"
35590100,Sewing machines and hat and zipper making machinery
35590101,Bag seaming and closing machines (sewing machinery)
35590102,Button sewing machines
35590103,"Buttonhole and eyelet machines and attachments, industrial"
35590104,Fur sewing machines
35590105,Hat making and hat renovating machinery
35590106,"Sewing machines and attachments, industrial, nec"
35590107,Zipper making machinery
35590200,"Boots, shoes, and leather working machinery"
35590201,Boot making and repairing machinery
35590202,Leather working machinery
35590203,Scouring machines (tannery equipment)
35590204,Shoe making and repairing machinery
35590205,Tannery machines
35590300,Automotive related machinery
35590301,Automotive maintenance equipment
35590302,"Degreasing machines, automotive and industrial"
35590303,"Frame straighteners, automobile (garage equipment)"
35590304,"Pack-up assemblies, wheel overhaul"
35590305,"Wheel balancing equipment, automotive"
35590400,"Refinery, chemical processing, and similar machinery"
35590401,Chemical machinery and equipment
35590402,"Cryogenic machinery, industrial"
35590403,Desalination equipment
35590404,Petroleum refinery equipment
35590500,"Foundry, smelting, refining, and similar machinery"
35590501,Foundry machinery and equipment
35590502,Smelting and refining machinery and equipment
35590600,Kilns
35590601,"Kilns, cement"
35590602,"Kilns, chemical"
35590603,"Kilns, lumber"
35590700,"Rubber working machinery, including tires"
35590701,Tire grooving machines
35590702,Tire retreading machinery and equipment
35590703,Tire shredding machinery
35599900,"Special industry machinery, nec, nec"
35599901,"Ammunition and explosives, loading machinery"
35599902,Anodizing equipment
35599903,Brick making machinery
35599904,Broom making machinery
35599905,Cement making machinery
35599906,Clay working and tempering machines
35599907,Concrete products machinery
35599908,Cork working machinery
35599909,Cotton ginning machinery
35599910,Electron tube making machinery
35599911,Electroplating machinery and equipment
35599912,"Glass making machinery: blowing, molding, forming, etc."
35599913,Jewelers' machines
35599914,"Lamp making machinery, incandescent"
35599915,"Metal finishing equipment for plating, etc."
35599916,Metal pickling equipment
35599917,Nuclear reactor control rod and drive mechanism
35599918,Optical lens machinery
35599919,Ozone machines
35599920,Paint making machinery
35599921,Parking facility equipment and supplies
35599922,Pharmaceutical machinery
35599923,Plastics working machinery
35599924,Pottery making machinery
35599925,"Robots, molding and forming plastics"
35599926,"Screening equipment, electric"
35599927,Semiconductor manufacturing machinery
35599928,"Separation equipment, magnetic"
35599929,Silver recovery equipment
35599930,Stone tumblers
35599931,Stone working machinery
35599932,Synthetic filament extruding machines
35599933,Tile making machines
35599934,Tobacco products machinery
35599935,Wallpaper trimmers
35599936,Watch rate recorders
